muleID,startTime,endTime,numberOfRuns,filesRead,dataVolume,documentCalls,loadDuration,getResultDuration
667,1734093586118,1734093780580,10,1942,279648,2910,140518,53625
668,1734093586118,1734093780535,10,1922,276768,2880,140159,54019
669,1734093586118,1734093780566,11,1990,286560,2982,139067,55101
670,1734093586105,1734093780363,10,1978,284832,2964,139644,54427
671,1734093586118,1734093780259,10,1976,284544,2961,139561,54360
672,1734093586118,1734093780578,11,2068,297792,3099,138026,56219
673,1734093586277,1734093780487,11,2058,296352,3084,138490,55253
674,1734093586106,1734093780469,16,3006,432864,4506,135844,58377
675,1734093586106,1734093780586,16,2996,431424,4491,136758,57475
676,1734093586106,1734093780494,15,2942,423648,4410,136788,57391
677,1734093586106,1734093780435,15,2938,423072,4404,136325,57858
678,1734093586106,1734093780405,15,2944,423936,4413,136389,57664
679,1734093586118,1734093780492,15,2938,423072,4404,136497,57587
680,1734093586117,1734093780552,11,2014,290016,3018,138625,55680
681,1734093586106,1734093780474,10,1970,283680,2952,139199,54917
682,1734093586106,1734093780314,11,2062,296928,3090,138609,55451
683,1734093586106,1734093780515,10,1936,278784,2901,140750,53513
684,1734093586107,1734093780264,11,2004,288576,3003,137918,56096
685,1734093586107,1734093780595,11,2066,297504,3096,138724,55492
686,1734093586107,1734093780511,11,2066,297504,3096,138089,56073
687,1734093586277,1734093780535,10,1978,284832,2964,138793,55052
688,1734093586116,1734093780527,10,1914,275616,2868,140300,53873
689,1734093586115,1734093780561,10,1930,277920,2892,140176,54100
690,1734093586115,1734093780546,10,1952,281088,2925,139260,54913
691,1734093586112,1734093780613,11,1996,287424,2991,139230,55082
692,1734093586112,1734093780533,11,1984,285696,2973,139547,54599
693,1734093586115,1734093780559,10,1958,281952,2934,139415,54791
694,1734093586115,1734093780428,16,3002,432288,4500,136471,57608
695,1734093586112,1734093780344,16,2992,430848,4485,135253,58842
696,1734093586112,1734093780454,16,3014,434016,4518,136192,58013
697,1734093586115,1734093780169,16,3006,432864,4506,135337,58578
698,1734093586112,1734093780464,15,2946,424224,4416,136512,57680
699,1734093586114,1734093780504,15,2964,426816,4443,136113,57955
700,1734093586278,1734093780384,11,2016,290304,3021,138125,55568
701,1734093586115,1734093780365,11,1992,286848,2985,138093,55982
702,1734093586116,1734093780540,11,2044,294336,3063,138282,56007
703,1734093586116,1734093780585,10,1932,278208,2895,140236,54002
704,1734093586116,1734093780492,10,1902,273888,2850,140054,54078
705,1734093586116,1734093780521,11,1986,285984,2976,139001,55148
706,1734093586277,1734093780544,11,1982,285408,2970,138637,55206
707,1734093586277,1734093780317,10,1938,279072,2904,138091,55519
708,1734093586277,1734093780360,10,1934,278496,2898,138594,55075
709,1734093586277,1734093780538,10,1956,281664,2931,139761,54087
710,1734093586277,1734093780490,11,2002,288288,3000,138027,55715
711,1734093586277,1734093780357,11,2066,297504,3096,137488,56146
712,1734093586277,1734093780388,10,1938,279072,2904,138628,55071
713,1734093586118,1734093780359,10,1952,281088,2925,139643,54431
714,1734093586277,1734093780479,15,2958,425952,4434,136699,57052
715,1734093586119,1734093780459,15,2930,421920,4392,135976,58119
716,1734093586119,1734093780505,16,3008,433152,4509,135444,58628
717,1734093586277,1734093780479,15,2948,424512,4419,136020,57729
718,1734093586121,1734093780414,16,3002,432288,4500,135447,58619
719,1734093586277,1734093780494,16,2976,428544,4461,135367,58371
720,1734093586277,1734093780349,10,1976,284544,2961,139049,54608
721,1734093586277,1734093780342,10,1934,278496,2898,139139,54473
722,1734093586277,1734093780524,11,2014,290016,3018,138239,55453
723,1734093586121,1734093780545,11,1984,285696,2973,138902,55280
724,1734093586277,1734093780538,11,1996,287424,2991,138740,55109
725,1734093586277,1734093780534,10,1926,277344,2886,139493,54359
726,1734093586121,1734093780328,10,1932,278208,2895,139678,54259
727,1734093586121,1734093780619,10,1888,271872,2829,140611,53582
728,1734093586277,1734093780386,10,1892,272448,2835,139059,54562
729,1734093586121,1734093780347,10,1892,272448,2835,140574,53417
730,1734093586277,1734093780529,11,1984,285696,2973,138884,54953
731,1734093586277,1734093780554,10,1970,283680,2952,138981,54897
732,1734093586276,1734093780619,10,1914,275616,2868,140616,53242
733,1734093586276,1734093780584,11,1984,285696,2973,139101,54697
734,1734093586276,1734093780445,15,2932,422208,4395,135787,57984
735,1734093586276,1734093780458,16,2972,427968,4455,135236,58520
736,1734093586122,1734093780435,15,2938,423072,4404,136664,57426
737,1734093586276,1734093780485,15,2938,423072,4404,136557,57184
738,1734093586276,1734093780575,16,3002,432288,4500,135515,58221
739,1734093586276,1734093780381,15,2960,426240,4437,136274,57413
740,1734093586276,1734093780441,10,1974,284256,2958,138731,55029
741,1734093586276,1734093780393,10,1902,273888,2850,139980,53699
742,1734093586122,1734093780578,10,1970,283680,2952,138623,55443
743,1734093586276,1734093780529,11,1984,285696,2973,138249,55595
744,1734093586276,1734093780489,10,1950,280800,2922,139554,54248
745,1734093586276,1734093780518,10,1952,281088,2925,140167,53544
746,1734093586278,1734093780348,10,1960,282240,2937,138739,54915
747,1734093586276,1734093780531,10,1960,282240,2937,139249,54587
748,1734093586276,1734093780469,10,1920,276480,2877,140207,53566
749,1734093586276,1734093780346,10,1970,283680,2952,138165,55504
750,1734093586123,1734093780625,10,1898,273312,2844,141207,52980
751,1734093586276,1734093780548,10,1972,283968,2955,138953,54890
752,1734093586276,1734093780616,10,1966,283104,2946,138151,55709
753,1734093586123,1734093780347,10,1932,278208,2895,140646,53346
754,1734093586278,1734093780468,16,3010,433440,4512,135689,58083
755,1734093586123,1734093780458,15,2934,422496,4398,137027,57080
756,1734093586123,1734093780412,16,3026,435744,4536,136630,57432
757,1734093586275,1734093780594,15,2958,425952,4434,136241,57540
758,1734093586123,1734093780508,15,2964,426816,4443,136413,57653
759,1734093586124,1734093780428,15,2966,427104,4446,136127,57676
760,1734093586124,1734093780429,10,1912,275328,2865,140251,53721
761,1734093586275,1734093780441,10,1916,275904,2871,139638,54110
762,1734093586275,1734093780596,10,1944,279936,2913,140048,53725
763,1734093586275,1734093780358,10,1946,280224,2916,138825,54842
764,1734093586125,1734093780626,10,1972,283968,2955,140057,54125
765,1734093586125,1734093780532,11,2008,289152,3009,138085,56058
766,1734093586275,1734093780509,10,1968,283392,2949,139607,54211
767,1734093586275,1734093780570,11,2034,292896,3048,138255,55569
768,1734093586126,1734093780632,10,1948,280512,2919,139684,54523
769,1734093586275,1734093780632,10,1906,274464,2856,139462,54404
770,1734093586126,1734093780613,10,1976,284544,2961,138600,55705
771,1734093586275,1734093780499,10,1934,278496,2898,140419,53397
772,1734093586275,1734093780534,11,1998,287712,2994,138997,54863
773,1734093586275,1734093780355,11,1982,285408,2970,139885,53782
774,1734093586275,1734093780345,15,2940,423360,4407,135882,57776
775,1734093586275,1734093780494,15,2942,423648,4410,136712,57041
776,1734093586127,1734093780424,15,2942,423648,4410,136028,58048
777,1734093586127,1734093780505,15,2946,424224,4416,136971,57102
778,1734093586128,1734093780590,15,2964,426816,4443,136257,57871
779,1734093586275,1734093780436,16,2976,428544,4461,135958,57788
780,1734093586275,1734093780599,10,1918,276192,2874,139622,54140
781,1734093586275,1734093780378,11,2034,292896,3048,136983,56703
782,1734093586275,1734093780345,11,2016,290304,3021,139195,54461
783,1734093586275,1734093780535,10,1972,283968,2955,138620,55225
784,1734093586131,1734093780566,11,1992,286848,2985,139353,54796
785,1734093586274,1734093780447,10,1940,279360,2907,139993,53667
786,1734093586131,1734093780274,10,1950,280800,2922,139560,54358
787,1734093586274,1734093780594,10,1922,276768,2880,139893,53880
788,1734093586131,1734093780349,10,1892,272448,2835,139981,54014
789,1734093586131,1734093780614,11,2046,294624,3066,138700,55608
790,1734093586274,1734093780547,10,1938,279072,2904,139694,54162
791,1734093586131,1734093780540,11,1986,285984,2976,139584,54603
792,1734093586131,1734093780400,10,1950,280800,2922,139593,54456
793,1734093586131,1734093780427,10,1944,279936,2913,140217,53577
794,1734093586274,1734093780583,15,2952,425088,4425,135775,58032
